"ID,""Nama Tempat"",""Kategori"",""Alamat"",""Link Maps"",""Latitude"",""Longitude"",""Rating"",""Jam Buka"","""""
"1,""padang bulan apotek "",""Apotek"",""Jl. Jamin Ginting No.577, Padang Bulan, Kec. Medan Baru, Kota Medan, Sumatera Utara 20157"",""https://maps.app.goo.gl/mZB3FwPznLjfFggF8"",""3.553592103531075"",""98.66137905313134"",""5.0"",""06.30-23.59"","""""
"2,""apotek RZ"",""Apotek"",""Jl. Jamin Ginting No.266, Padang Bulan, Kec. Medan Baru, Kota Medan, Sumatera Utara 20222"",""https://maps.app.goo.gl/VCd5HSixjV9soSwq6"",""3.565249566413545"",""98.66194725056839"",""4.5"",""07.00-00.00"","""""
"3,""apotik setia farma"",""Apotek"",""HJ6Q+M4P, Jl. Setia Budi, Tj. Sari, Kec. Medan Selayang, Kota Medan, Sumatera Utara 20132"",""https://maps.app.goo.gl/SnWevweNHev1KwF77"",""3.5635664935219484"",""98.63775756971597"",""3.8"",""07.30-23.15"","""""
"4,""apotek bona 1 simpang kampus usu"",""Apotek"",""Jl. Jamin Ginting No.128, Merdeka, Kec. Medan Baru, Kota Medan, Sumatera Utara 20154"",""https://maps.app.goo.gl/gnKGEeckNA4g7t8b9"",""3.568248991079553"",""98.66047179548602"",""4.7"",""08.00-22.00"","""""
"5,""apotek usu"",""Apotek"",""Jl. Dr. Mansyur No.70, Merdeka, Kec. Medan Baru, Kota Medan, Sumatera Utara 20153"",""https://maps.app.goo.gl/tykxp1TBAmbtcT6i6"",""3.5683870260832866"",""98.65461014180957"",""4.0"",""09.00-18.30"","""""
"6,""apotek bahagia "",""Apotek"",""Jl. Jamin Ginting No.301, Padang Bulan, Kec. Medan Baru, Kota Medan, Sumatera Utara 20155"",""https://maps.app.goo.gl/YQkRLRVxLckzniQD8"",""3.5593161074724695"",""98.66162741463515"",""4.9"",""08.30-23.30"","""""
"7,""apotek marsada family"",""Apotek"",""Jl. Bunga Kenanga, Padang Bulan Selayang II, Kec. Medan Selayang, Kota Medan, Sumatera Utara 20156"",""https://maps.app.goo.gl/TJUMbxm57UsjLE9JA"",""3.5473368034675974"",""98.64940506773448"",""4.7"",""06.30-23.00"","""""
"8,""apotek sehat sembada"",""Apotek"",""Jl. Sembada No.58-44, Padang Bulan Selayang II, Kec. Medan Selayang, Kota Medan, Sumatera Utara 20156"",""https://maps.app.goo.gl/oTdf7dLx7xiuLhyG6"",""3.547123816236212"",""98.64984493375866"",""4.3"",""08.00-23.00"","""""
"9,""apotek nasional eleven"",""Apotek"",""Jl. Bunga Kenanga No.41, Padang Bulan Selayang II, Kec. Medan Selayang, Kota Medan, Sumatera Utara 20156"",""https://maps.app.goo.gl/TgRXEuFT1zWqxyYY9"",""3.547262045507169"","" 98.64981625794958"",""5.0"",""06.30-23.00"","""""
"10,""apotek ayo sehat"",""Apotek"",""Bima Diandra Residence No.A6, Jl. Bunga Ester, Padang Bulan Selayang II, Kec. Medan Selayang, Kota Medan, Sumatera Utara"",""https://maps.app.goo.gl/z76v3VWtpSi6HLZYA"",""3.544117312890238"",""98.6420596947174"",""4.8"",""06.00-22.00"","""""
"11,""apotek medisa"",""Apotek"",""Samping Alfamidi / depan auto pilot, Jl. Bunga Cemp. No.8D, Padang Bulan Selayang II, Kec. Medan Selayang, Kota Medan, Sumatera Utara 20156"",""https://maps.app.goo.gl/rqCXnJ4NAaLiXhMNA"",""3.552866752235677"",""98.63828738786673"",""4.6"",""07.00-23.00"","""""
"12,""apotek vianty farma"",""Apotek"",""Jl. Bunga Cemp. No.61a, Padang Bulan Selayang II, Kec. Medan Selayang, Kota Medan, Sumatera Utara 20132"",""https://maps.app.goo.gl/Zp3gpc6CeJ76hcnA7"",""3.5526046036068757"",""98.63791967309568"",""5.0"",""08.00-22.00"","""""
"13,""apotek andalusia"",""Apotek"",""Jl. Setia Budi No.154B, Tj. Sari, Kec. Medan Selayang, Kota Medan, Sumatera Utara 20132"",""https://maps.app.goo.gl/VhiGjPmGeTykiNQv7"",""3.5551212273687094"",""98.63271913561961"",""5.0"",""07.00-23.00"","""""
"14,""apotek ibunda"",""Apotek"",""Jl. Jamin Ginting No.9, RT.00, Kwala Bekala, Kec. Medan Johor, Kota Medan, Sumatera Utara 20153"",""https://maps.app.goo.gl/bRrgj9b8yo65RmNS8"",""3.56219647612092"",""98.6620993093303"",""5.0"",""17.30-22.00"","""""
